sku,transaction_type,quantity,timestamp
WIDGET-1,receive,100,2026-01-01 08:00
WIDGET-1,ship,120,2026-01-03 10:00
GADGET-2,receive,50,2026-01-01 09:00
GADGET-2,ship,1000,2026-01-01 09:30
BAD-SKU,ship,-5,2026-01-01 10:00
,receive,10,2026-01-01 11:00
BOLT-5,adjust,-10,2026-01-01 07:00
WIDGET-1,RECEIVE,25,2026-01-04 09:00
NUT-9,receive,0,2026-01-04 09:30
WID GET-7,receive,5,2026-01-04 10:00
TIE-1,receive,10,2026-01-06 09:00
TIE-1,ship,10,2026-01-06 09:00
COG-3,receive,5.5,2026-01-05 08:00
COG-3,adjust,2.5,2026-01-05 08:30
COG-3,receive,4,2026-02-30 08:00
COG-4,adjust,0,2026-01-05 09:00
TIE-2,receive,15,2026-01-06 09:00
